Month,Asian Civilisations Museum,National Museum Of Singapore,Singapore Art Museum,Singapore Philatelic Museum,Peranakan Museum,Science Centre Singapore,Jurong Birdpark,Night Safari,River Wonders,Singapore Zoological Gardens,Chinese/Japanese Gardens,Sun Yat Sen Nanyang Memorial Hall,Indian Heritage Centre,Malay Heritage Centre
1998-07,5.8,19.4,15.1,na,na,32.2,na,na,na,98.9,6.3,na,na,na
1998-08,9.9,22.3,23.4,na,na,27.8,na,na,na,109.2,7.8,na,na,na
1998-09,5.4,17.7,12.8,na,na,35.6,na,na,na,105.8,51,na,na,na
1998-10,8,22.5,39.9,na,na,41.4,na,na,na,100.5,84.6,na,na,na
1998-11,6.1,23.9,7.8,na,na,42.4,na,na,na,120.5,6.9,na,na,na
1998-12,3.2,13.8,5,na,na,36.3,na,na,na,126.4,7.8,na,na,na
1999-01,4.4,17.9,7.4,2.5,na,15.8,na,na,na,100.7,7.9,na,na,na
1999-02,17.7,17.4,5.3,2.8,na,25.2,na,na,na,106.6,13.2,na,na,na
1999-03,30.1,21.1,7.6,4.8,na,95.8,na,na,na,112.6,8.1,na,na,na
1999-04,25.9,21.3,29.6,2.9,na,31.6,na,na,na,91.4,6.4,na,na,na
1999-05,33.9,36.6,37.1,3.5,na,52.1,na,na,na,136.6,6.8,na,na,na
1999-06,2.2,29,6,2.9,na,36.5,na,na,na,135,6.9,na,na,na
1999-07,3.8,31.6,10,4.8,na,32.6,na,na,na,110.4,6.8,na,na,na
1999-08,6.2,29.5,26,4.6,na,30.6,na,na,na,117,8.4,na,na,na
1999-09,4.5,23.4,8.3,4,na,32.7,na,na,na,105.8,122.7,na,na,na
1999-10,4.5,33.9,10.1,4.3,na,55.8,na,na,na,89.1,6.8,na,na,na
1999-11,5,46.1,11.3,4.1,na,60.8,na,na,na,125.8,7.5,na,na,na
1999-12,3.3,27.3,22.1,2.2,na,40.7,na,na,na,155.3,8.4,na,na,na
2000-01,3.3,17.3,13.3,3.1,na,17.9,na,na,na,78,8.1,na,na,na
2000-02,4.4,18.9,10.5,2.5,na,26,na,na,na,113.8,36.5,na,na,na
2000-03,4.5,26.5,16.9,2.7,na,68.6,na,na,na,126.6,7.7,na,na,na
2000-04,4,17.6,8.6,2.7,na,38.2,na,na,na,103.1,6.2,na,na,na
2000-05,6.2,22.8,9.4,2.6,na,68.6,na,na,na,136.4,5.9,na,na,na
2000-06,4,15,10.4,2.8,na,43.3,na,na,na,127.4,6.5,na,na,na
2000-07,4.3,21.6,10.3,3.1,na,31.5,na,na,na,122.6,7,na,na,na
2000-08,4.4,24.7,11.1,2.7,na,29.5,na,na,na,103.7,10.2,na,na,na
2000-09,9,31.1,6.3,3.5,na,36.1,na,na,na,100.1,94.8,na,na,na
2000-10,11.6,36.3,16.6,4.1,na,28.6,na,na,na,75.9,8.9,na,na,na
2000-11,7.1,40.6,11.3,5.5,na,51.1,na,na,na,102.2,5.4,na,na,na
2000-12,8.5,36.4,9.2,2.5,na,50.1,na,na,na,133.7,8.6,na,na,na
2001-01,6.4,21.8,9.2,2.7,na,22.2,71.5,62.8,na,95.4,11.3,na,na,na
2001-02,5.6,19.3,16,3.5,na,40.4,58.5,58,na,79.9,6.6,na,na,na
2001-03,6.5,28.3,12.8,4.7,na,52.2,76.1,76.9,na,139.1,6.7,na,na,na
2001-04,4.9,21,9.6,2.9,na,36.7,75.5,69.7,na,104.9,6.1,na,na,na
2001-05,6.9,27.2,9.9,3.9,na,51.8,82.7,68.5,na,122.7,5.5,na,na,na
2001-06,4.5,18.9,7.5,3.3,na,36.4,81.5,75.8,na,145.5,5.6,na,na,na
2001-07,4.7,19.2,8.6,7.2,na,38.9,91.5,81.7,na,122.1,6.7,na,na,na
2001-08,6.9,24.6,14.6,3.4,na,49.9,83.4,91.2,na,115.9,6.7,na,na,na
2001-09,4.9,20.1,9.3,3.6,na,58.9,82,68.8,na,127.2,71,na,na,na
2001-10,5,20.9,12.3,3.1,na,32.6,55.9,54.8,na,87.5,34.5,na,na,na
2001-11,8,28.3,18.7,4.7,na,45.9,79.9,55.1,na,125.6,37.7,na,na,na
2001-12,6,18.3,9.3,3.6,na,54.6,91.6,75.8,na,162.7,47.3,na,na,na
2002-01,7.2,17.3,9.5,4.1,na,20,64.4,59.7,na,76.7,26.1,na,na,na
2002-02,6.2,20,5.3,3.1,na,22.5,66.6,59,na,96.5,30.1,na,na,na
2002-03,5.7,25.9,6.6,3.1,na,50.3,91,80.9,na,145.2,27.5,na,na,na
2002-04,6.3,24.7,5.5,3.3,na,28.5,71.9,61.8,na,81.8,17,na,na,na
2002-05,8.2,41.2,10.6,3.4,na,56.5,88.7,70.3,na,117.1,17.9,na,na,na
2002-06,3.2,19.9,11.1,2.3,na,67.4,83.6,70.2,na,123.6,21.8,na,na,na
2002-07,5.6,23,13.3,4.2,na,35.4,80.6,81.6,na,106.3,16.8,na,na,na
2002-08,8.1,25.2,27.5,4.4,na,41.2,91.3,92,na,108.7,20.4,na,na,na
2002-09,3.7,18.7,8.8,3,na,53.2,80.1,76.1,na,112.2,218.9,na,na,na
2002-10,5.5,27.5,8,4.4,na,37.6,97.5,71.1,na,81.7,15.4,na,na,na
2002-11,5.8,28.5,11.6,4.4,na,39,87.5,67.5,na,94.8,46.6,na,na,na
2002-12,6.4,19.5,9.9,3.3,na,64.2,86.2,83.6,na,147.2,21.9,na,na,na
2003-01,4.2,15.1,7.3,2.4,na,15.1,54.2,63.9,na,54.9,15.6,na,na,na
2003-02,7.1,24.7,9.5,4.2,na,27.7,65.2,55.6,na,86.9,21,na,na,na
2003-03,31.2,19,9.2,3.1,na,45.1,60.8,59.4,na,103,19.7,na,na,na
2003-04,5.4,10.5,4.3,1.1,na,11.2,15.7,18.6,na,37.4,16.5,na,na,na
2003-05,8.9,1,4.8,1.9,na,15.4,21.7,24.6,na,62.5,18.1,na,na,na
2003-06,11,1.1,7.8,3.9,na,68.2,54.7,38.7,na,118.6,31.9,na,na,na
2003-07,12.5,4.6,10.4,3.2,na,45.3,59.4,51.9,na,85.6,24.3,na,na,na
2003-08,11.5,8.3,21.5,5.9,na,45.7,70,63.7,na,93.9,73.1,na,na,na
2003-09,14,7.1,16.6,4,na,60.1,72.8,51.7,na,96.6,171.3,na,na,na
2003-10,14.4,6.8,19.5,5.5,na,43.8,62.2,52.7,na,88.6,18.9,na,na,na
2003-11,14.6,5.7,18.5,5.9,na,50.3,83.7,62.4,na,116.6,19.6,na,na,na
2003-12,12.5,5,20,4.7,na,58.4,75.8,67,na,118.1,22.7,na,na,na
2004-01,13.8,4.1,23.2,5.4,na,47.4,58.3,57.4,na,75.9,31.8,na,na,na
2004-02,14.4,6.1,22.1,3.7,na,58.7,40.7,56.9,na,69,37.2,na,na,na
2004-03,15.1,10,21.9,4,na,107.4,42.3,59.9,na,96.1,56.4,na,na,na
2004-04,17,12.4,25.4,3.9,na,91.7,52,60.7,na,89,51.9,na,na,na
2004-05,19.4,6.8,29.9,5.5,na,104.8,70.3,72,na,99.2,47.5,na,na,na
2004-06,16,6,29.2,3.6,na,85.2,84.2,88.1,na,121.2,32,na,na,na
2004-07,17.9,8.4,30.1,4.8,na,39.7,80.4,83.3,na,95.3,36.2,na,na,na
2004-08,17,7.2,28.1,7.9,na,30.5,76.6,85.2,na,108.6,19.8,na,na,na
2004-09,33.1,6.3,31.4,4.5,na,38.4,54.7,63.5,na,83.9,169.1,na,na,na
2004-10,23.8,6.6,30.3,4.7,na,37,60.4,75.7,na,78.4,43.4,na,na,na
2004-11,20.9,9,30.7,6.5,na,72,81.7,70,na,98.7,31.8,na,na,na
2004-12,17.4,4.7,35.5,7,na,93.5,87.5,86,na,133,41.6,na,na,na
2005-01,19,4.9,44.7,4.6,na,72.3,52,70.6,na,74.6,50.9,na,na,na
2005-02,16.4,6.9,38.6,4.5,na,41.4,57.2,70.3,na,92.9,85.8,na,na,na
2005-03,22.9,8.5,23.7,4.6,na,62.5,68.7,89.4,na,121.8,53.1,na,na,na
2005-04,24.9,12.4,22.5,8.4,na,44.9,67.2,73.9,na,90.4,42.2,na,na,na
2005-05,22.3,8.9,24.5,8.4,na,72.6,85.3,95.6,na,131.5,51.2,na,na,na
2005-06,16.9,5.1,26.7,6,na,75.8,84.1,85.6,na,133.2,62.8,na,na,na
2005-07,25,7.6,32.3,8.9,na,61.3,88.6,99.2,na,125.8,52,na,na,na
2005-08,24.7,7.1,30.5,8.5,na,49,93,105,na,102.8,28.4,na,na,na
2005-09,32.8,9.2,22.8,7.9,na,66.3,70.7,68.6,na,82.1,171.6,na,na,na
2005-10,33.9,5,25.5,7.1,na,41.9,74.6,80.8,na,79.2,41.4,na,na,na
2005-11,22,11.4,26.1,6.3,na,79.9,70.3,69.3,na,111.8,50.2,na,na,na
2005-12,16.3,4.3,28.8,7.1,na,116,67.9,94.4,na,137.2,50.9,na,na,na
2006-01,16.1,5.2,23.6,8,na,53.1,59,80.4,na,101.3,54.1,na,na,na
2006-02,11.3,7.3,21.6,7.2,na,41.5,47.1,60.2,na,79.8,49.4,na,na,na
2006-03,17.7,1.1,26.3,8,na,85.6,52.6,97.4,na,124.6,48.7,na,na,na
2006-04,54.2,2.8,28.2,7.1,na,62.2,57.8,80.6,na,119.5,49.4,na,na,na
2006-05,45.5,0.7,35.3,10.5,na,89.7,77.6,95.6,na,136.9,35.8,na,na,na
2006-06,36.6,5.4,31.5,7.4,na,153.3,64.2,108.6,na,121.2,43.7,na,na,na
2006-07,47.4,3.8,27.9,8.1,na,111.2,73.6,90,na,131.3,52.5,na,na,na
2006-08,40.9,6.5,24.9,10.2,na,112.3,78.2,95.4,na,131.1,53.1,na,na,na
2006-09,43.4,10.9,26.2,6.4,na,82.1,52.8,58.4,na,106,92.8,na,na,na
2006-10,45.5,28.5,24.7,8.4,na,51,70.9,86.1,na,105.5,120.6,na,na,na
2006-11,43.4,2.9,24.4,6,na,54.6,64.3,64.7,na,102,49.1,na,na,na
2006-12,35.9,83.5,19.8,7.1,na,92.3,90.2,89.7,na,145.9,49.5,na,na,na
2007-01,41.5,49.1,23.3,6.4,na,47.5,60.6,83.6,na,90.5,51.6,na,na,na
2007-02,50.1,40.3,17.8,7.1,na,41,58.5,77,na,77,41.7,na,na,na
2007-03,52.7,53.1,20.5,7.9,na,67.4,68.1,114.4,na,114.4,39.4,na,na,na
2007-04,50.7,57.9,25.1,6.7,na,51.1,76.4,80.8,na,126,42.3,na,na,na
2007-05,46.4,61,27,7.1,na,68.3,81.3,90.1,na,152.6,36.9,na,na,na
2007-06,38.1,55,26.1,6.5,na,83.1,84,107.6,na,152.4,28.2,na,na,na
2007-07,50.1,56.9,28.1,8.7,na,82.3,77.8,108.7,na,139.5,37.6,na,na,na
2007-08,46.6,63.2,29.5,11.3,na,93.2,78.7,117.8,na,134.4,33.3,na,na,na
2007-09,43.2,65.5,18,7.4,na,102.6,54.4,73.6,na,103.5,127.4,na,na,na
2007-10,51.1,54.3,30.1,7.6,na,49.2,63.1,91.1,na,103.3,32.5,na,na,na
2007-11,57.5,62,24.4,8,na,68.2,79.8,84,na,84,34.8,na,na,na
2007-12,47,56.8,23,7.8,na,126.4,92.5,104.5,na,165.1,37.7,na,na,na
2008-01,53.4,53,21.6,7,na,40.9,61.6,98.7,na,100.5,35.6,na,na,na
2008-02,55.6,75.8,21.7,7.8,na,70.1,48.4,85.1,na,109.1,54.9,na,na,na
2008-03,74.6,92.4,35,6.5,na,67.9,69,129.9,na,141.1,50.3,na,na,na
2008-04,49.6,68.6,27.8,7.4,10.5,46.4,60.7,68,na,100.9,54.9,na,na,na
2008-05,76.8,84.3,49.7,8.1,32,101.2,78,107,na,139.9,53,na,na,na
2008-06,53.8,73.5,50.4,8.3,15.9,128,82.2,100.9,na,153,45.1,na,na,na
2008-07,63.5,124.5,64.3,9.7,30.2,99.5,91.6,108.3,na,140.8,53.5,na,na,na
2008-08,58.7,67.4,54.3,9,23.5,89,82,115.3,na,132.7,50.8,na,na,na
2008-09,45.4,54.6,46.6,6.9,10.8,67.7,45,64.4,na,87.5,85.2,na,na,na
2008-10,58.1,64.7,71.1,7.2,16,82.2,77.4,102.6,na,125.8,49.5,na,na,na
2008-11,57.6,56.9,71.7,8.2,17.9,129.6,59.3,85,na,150.1,61.7,na,na,na
2008-12,50.6,56.2,63.7,9.2,15.1,116.9,86.4,112.3,na,208.2,72,na,na,na
2009-01,44,53.8,51.2,9,22.3,63.6,69.4,92.4,na,143.9,91.2,na,na,na
2009-02,42.3,49.9,55.2,7.4,30.6,46.3,54.5,69.7,na,103.6,67.9,na,na,na
2009-03,83.2,57.1,59.3,8.7,19.6,86,88.8,93,na,150.4,76,na,na,na
2009-04,67.5,61.9,59.4,9,26.9,55.6,55,73.9,na,128.5,71.2,na,na,na
2009-05,83.9,62.4,78.1,11.2,23.5,73.5,74.5,94.6,na,134.7,73.3,na,na,na
2009-06,93,70.6,50.9,8.6,18.3,126.6,90.4,104.7,na,162.1,56.6,na,na,na
2009-07,49.7,94.3,85,7.9,22.3,90.7,74.6,108,na,130,66.4,na,na,na
2009-08,57.8,72.3,75.9,10,17.9,107.3,67.3,108.3,na,136.5,72.8,na,na,na
2009-09,42.1,88.4,76,8.6,24.3,81.6,61.6,90.8,na,129,68.8,na,na,na
2009-10,61.1,95.2,53.7,8.5,19.4,66,64.5,111.4,na,127.7,77.3,na,na,na
2009-11,62.2,80.2,51,10,22.2,116.8,62.3,68.6,na,124.8,57.8,na,na,na
2009-12,52.2,71.9,47.9,8.5,23.4,145.3,99.4,120.8,na,192.4,61.8,na,na,na
2010-01,39,73.5,50.5,7,16.5,82.7,66.8,77.9,na,114.5,66.4,na,na,na
2010-02,47.1,60.2,37.8,7,13.7,106.8,73.4,87.4,na,127,84.7,na,na,na
2010-03,65.4,104.1,45.5,7.6,22.5,90.3,71.5,88.5,na,135.8,73.1,na,na,na
2010-04,48,57.8,51.9,9.3,18.8,94.1,59,84.6,na,127.1,90.4,na,na,na
2010-05,85.2,68.1,66.1,9.5,20.6,98.8,88.5,107.7,na,153,74.6,na,na,na
2010-06,69.3,62.4,59.7,8.7,18.8,124.1,94,103.1,na,160.5,66.3,na,na,na
2010-07,72.5,79.9,86.1,8.9,23.1,66.6,87.7,110.7,na,150,69.5,na,na,na
2010-08,71,71.3,50.3,9.6,26,51.4,78.7,109.6,na,132.5,61.3,na,na,na
2010-09,63.7,60.7,48.3,8.3,15.5,62.4,55.6,74.1,na,117.4,167.1,na,na,na
2010-10,80.2,76.4,50.3,10.2,16.7,67.1,63.6,117.6,na,110.9,54.4,na,na,na
2010-11,65.5,68.8,42.7,11.7,18.3,101.4,59.4,69.5,na,122,33.3,na,na,na
2010-12,70.3,64,50.7,7.3,14.4,179.8,84,98.9,na,179.8,33.3,na,na,na
2011-01,61.7,77.5,48.7,7.1,14.8,102.6,57.5,77.4,na,94.5,50.1,na,na,na
2011-02,59.5,49.1,39.6,8.4,22.1,93.2,69.3,83,na,131.9,106,na,na,na
2011-03,74.9,64.9,51.8,8.9,16.6,72.4,60.6,78.6,na,134.3,96.8,na,na,na
2011-04,51.2,70.8,53.7,7.5,14.6,73.2,71.6,90.5,na,146.2,82.9,na,na,na
2011-05,49.3,110.8,49.5,9.7,16.8,88.9,88.6,91.4,na,140.4,81.6,na,na,na
2011-06,55.2,119.5,56.2,9.7,25.8,98.8,83,92,na,155.7,72.9,na,na,na
2011-07,92.6,76,53.8,10.3,18.3,80.1,104,123.8,na,169.5,91.5,na,na,na
2011-08,113.9,90.8,93.6,15.2,29,80.1,86.4,115.1,na,149.8,58.9,na,na,na
2011-09,65.9,59.4,56,7.2,14.9,49,56.1,79.6,na,117.9,150.3,na,na,na
2011-10,101.8,80.4,51.9,8.4,18.3,71.6,69.8,90.4,na,134.4,63,na,na,na
2011-11,42.3,72,42,11.4,28.8,99.1,68.6,78.7,na,121.9,65.5,na,na,na
2011-12,46.2,61.4,39.8,12.1,14.3,144.9,93.4,97.9,na,173.7,43.6,na,na,na
2012-01,40.2,78.9,40.6,12.1,18.6,80.2,85.6,103.7,na,141,65.4,na,na,na
2012-02,45.6,58.4,39.2,9.1,25.2,90.8,59.9,92,na,108.4,62.8,na,na,na
2012-03,46.3,62.2,47.7,9.4,19.2,68.7,69.3,89.5,na,139.3,75.1,na,na,na
2012-04,56.9,72.7,49.2,9.3,22,55,73.9,93.1,na,143.7,82.9,na,na,na
2012-05,44.7,79.7,55.8,10.9,19.5,74.7,90.7,95.8,na,138.3,73.3,na,na,na
2012-06,36.5,67.3,72.1,11.1,29.9,95.9,88.8,103.7,na,155.8,72.2,na,na,na
2012-07,41.8,78.6,67.6,10.5,21.8,83.5,90.3,114.3,na,155.9,70.7,na,na,na
2012-08,45.6,105,106.7,16,41.7,68.3,86.2,119,na,163.5,71.6,na,na,na
2012-09,38.1,75.7,51.4,8,26.1,50.9,56.5,82.2,na,126.3,126.4,na,na,na
2012-10,56.9,77.8,41.2,7.9,14.9,83.7,63.3,91.1,na,126.5,69.5,na,na,na
2012-11,35.4,74.8,43.2,9.3,17.9,89.7,58.5,76.9,na,124.8,68.5,na,na,na
2012-12,36.8,55,41.5,9.3,13.2,127.7,78.3,102.2,na,233,72.6,na,na,na
2013-01,36,64.7,46.4,7.6,15,67.5,58.3,93.3,na,152,49.2,na,na,na
2013-02,33.8,74.5,37.5,8.8,14,59.9,63,88.2,na,136.7,50.6,na,na,na
2013-03,44.5,82,44.3,10.6,14.7,56.7,66.1,97.2,na,180.3,74.3,na,na,na
2013-04,36.3,70.4,39.3,9,17.7,49.6,56.7,81.8,42,127.3,49.8,na,na,na
2013-05,36.7,79.3,54.2,13.9,28.2,69.7,72.9,96.6,58.3,135.4,57.3,na,na,na
2013-06,34.3,97.6,90.3,14.2,38.3,85.4,69,96.8,78.7,143.2,58.9,na,na,na
2013-07,35.2,106.3,65.7,9.3,35,84.4,73.1,116.9,62.2,175.4,69.9,na,na,na
2013-08,42.3,194.7,113.5,11.6,68.8,88.7,77.1,136.7,86.7,182.9,60.4,na,na,na
2013-09,40.9,108.3,41.1,8,30.3,45.4,50.6,77.9,65.8,127.4,39.8,na,na,na
2013-10,42.6,104,62.8,7.4,35.8,63.7,59.7,94.5,63.3,132.2,60,na,na,na
2013-11,39.3,103.5,72.6,8.2,39.1,116.8,55.1,78,77.6,127.4,58.4,na,na,na
2013-12,30.5,113.9,61.2,8.7,36.9,111.7,76,110,168.7,183.9,64.6,na,na,na
2014-01,36.5,105.7,71.7,9.4,33.5,59.9,60.4,105.7,103,135.7,82.7,4.1,na,11.6
2014-02,37.7,112.2,67.5,10.1,30.2,58.6,58,96.4,102.2,134.7,79.7,8.1,na,12.1
2014-03,49.4,71.4,50.6,10.2,27.6,52.6,52.1,89.2,123,131.5,99.1,3.5,na,15.4
2014-04,46.5,62.4,54.7,10.2,25.4,41.2,58.5,87.5,86.1,132.9,94.8,2.8,na,13
2014-05,38.6,84.3,52.4,10.6,27.5,52.7,74.8,101.8,94.9,138.5,88.3,9,na,15.4
2014-06,25.7,75.3,49.6,20.3,32.2,108.7,66,98.7,118,141.7,93.8,7.6,na,12.2
2014-07,44.8,74,48.4,15,37,130.2,70.8,122.6,93.3,155.7,78.5,6.7,na,15.4
2014-08,28.4,102,109.3,19.5,80,99.2,73.9,136.8,94.4,169.4,65.9,6.6,na,17.9
2014-09,27.9,63.7,47.7,9.5,31.9,64,44.7,77.6,68.3,118.3,56.6,8.8,na,12.3
2014-10,33.2,50.5,68.4,9.8,30.9,70.8,59.7,96.6,84.7,129.9,78.7,17.7,na,18
2014-11,27.3,50.9,64.9,9.1,31,86,47.7,69.9,85.6,125.4,71.3,10.6,na,14.1
2014-12,27.3,49.6,58.7,8.4,29.8,128.4,68.8,97.1,91,164.5,61.8,7,na,9.1
2015-01,26.3,50.9,84.3,7.7,34.3,58.3,62.6,94.7,50.5,129.7,61.9,4.5,na,36.2
2015-02,25.9,46.2,49.8,8.3,32.5,68.9,62.3,106.1,59.2,156.3,88.9,18.7,na,36.8
